SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Face-to-Face,1 Day,5052
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Face-to-Face,15  to 21 Days,7655
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Face-to-Face,2 to 7 Days,11560
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Face-to-Face,22  to 28 Days,7871
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Face-to-Face,8  to 14 Days,8175
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Face-to-Face,More than 28 Days,7834
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Face-to-Face,Same Day,43701
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Face-to-Face,Unknown / Data Quality,32
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Home Visit,1 Day,106
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Home Visit,15  to 21 Days,20
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Home Visit,2 to 7 Days,164
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Home Visit,22  to 28 Days,26
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Home Visit,8  to 14 Days,44
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Home Visit,More than 28 Days,28
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Home Visit,Same Day,841
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Home Visit,Unknown / Data Quality,16
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Telephone,1 Day,2265
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Telephone,15  to 21 Days,2832
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Telephone,2 to 7 Days,5775
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Telephone,22  to 28 Days,1962
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Telephone,8  to 14 Days,4502
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Telephone,More than 28 Days,2116
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Telephone,Same Day,27958
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Telephone,Unknown / Data Quality,26
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Unknown,1 Day,9
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Unknown,15  to 21 Days,18
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Unknown,2 to 7 Days,31
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Unknown,22  to 28 Days,19
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Unknown,8  to 14 Days,37
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Unknown,More than 28 Days,22
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Unknown,Same Day,68
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,1 Day,371
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,15  to 21 Days,120
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,2 to 7 Days,658
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,22  to 28 Days,73
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,8  to 14 Days,266
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,More than 28 Days,47
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,Same Day,2041
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,1 Day,7638
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,14731
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,27137
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,11197
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,22829
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,More than 28 Days,13299
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,Same Day,36455
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,79
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,1 Day,185
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,15  to 21 Days,32
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,2 to 7 Days,259
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,22  to 28 Days,20
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,8  to 14 Days,69
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,More than 28 Days,25
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,Same Day,241
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,Unknown / Data Quality,1
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,1 Day,2245
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,15  to 21 Days,1597
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,2 to 7 Days,3968
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,22  to 28 Days,980
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,8  to 14 Days,2062
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,More than 28 Days,1538
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,Same Day,14948
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,Unknown / Data Quality,7
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Unknown,1 Day,3
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Unknown,15  to 21 Days,14
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Unknown,2 to 7 Days,57
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Unknown,22  to 28 Days,16
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Unknown,8  to 14 Days,18
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Unknown,More than 28 Days,17
11M,E38000062,NHS Gloucestershire ICB - 11M,E54000043,NHS Gloucestershire Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Unknown,Same Day,2397
