SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,1 Day,5449
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,15  to 21 Days,3786
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,2 to 7 Days,11213
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,22  to 28 Days,2692
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,8  to 14 Days,7194
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,More than 28 Days,1913
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,Same Day,44825
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Face-to-Face,Unknown / Data Quality,4
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Home Visit,1 Day,30
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Home Visit,2 to 7 Days,59
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Home Visit,22  to 28 Days,1
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Home Visit,8  to 14 Days,11
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Home Visit,Same Day,139
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Telephone,1 Day,1972
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Telephone,15  to 21 Days,1843
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Telephone,2 to 7 Days,4403
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Telephone,22  to 28 Days,2211
06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E40000007,East of England,JUL2023,Attended,GP,Telephone,8  to 14 Days,3272
