SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Face-to-Face,1 Day,15118
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Face-to-Face,15  to 21 Days,9654
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Face-to-Face,2 to 7 Days,30505
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Face-to-Face,22  to 28 Days,5409
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Face-to-Face,8  to 14 Days,18547
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Face-to-Face,More than 28 Days,2890
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Face-to-Face,Same Day,109745
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Face-to-Face,Unknown / Data Quality,109
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Home Visit,1 Day,224
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Home Visit,15  to 21 Days,44
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Home Visit,2 to 7 Days,192
93C,E38000240,NHS North Central London ICB - 93C,E54000028,NHS North Central London Integrated Care Board,E40000003,London,JUL2023,Attended,GP,Home Visit,22  to 28 Days,19
