SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Face-to-Face,1 Day,2418
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Face-to-Face,15  to 21 Days,2536
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Face-to-Face,2 to 7 Days,5804
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Face-to-Face,22  to 28 Days,1628
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Face-to-Face,8  to 14 Days,4775
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Face-to-Face,More than 28 Days,1086
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Face-to-Face,Same Day,20527
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Face-to-Face,Unknown / Data Quality,2
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Home Visit,1 Day,22
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Home Visit,2 to 7 Days,17
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Home Visit,8  to 14 Days,3
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Home Visit,Same Day,67
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Telephone,1 Day,1632
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Telephone,15  to 21 Days,1040
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Telephone,2 to 7 Days,3345
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Telephone,22  to 28 Days,488
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Telephone,8  to 14 Days,2098
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Telephone,More than 28 Days,281
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Telephone,Same Day,10135
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Unknown,2 to 7 Days,4
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Unknown,More than 28 Days,1
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Video/Online,1 Day,85
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Video/Online,15  to 21 Days,5
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Video/Online,2 to 7 Days,126
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Video/Online,22  to 28 Days,4
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Video/Online,8  to 14 Days,22
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Video/Online,More than 28 Days,5
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,GP,Video/Online,Same Day,139
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Face-to-Face,1 Day,2342
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,5128
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,8229
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,2458
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,7736
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Face-to-Face,More than 28 Days,2907
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Face-to-Face,Same Day,7062
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,8
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Home Visit,1 Day,74
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Home Visit,15  to 21 Days,2
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Home Visit,2 to 7 Days,26
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Home Visit,22  to 28 Days,1
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Home Visit,8  to 14 Days,8
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Home Visit,More than 28 Days,4
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Home Visit,Same Day,96
09D,E38000021,NHS Sussex ICB - 09D,E54000053,NHS Sussex Integrated Care Board,E40000005,South East,JUL2023,Attended,Other Practice staff,Telephone,1 Day,2471
