CALENDAR_MONTH_END_DATE,APC_Finished_Consultant,APC_FCEs_with_a_procedure,APC_Percent_FCEs_with_procedure,APC_Ordinary_Episodes,APC_Day_Case_Episodes,APC_Day_Case_Episodes_with_proc,APC_Percent_Day_Cases_with_proc,APC_Finished_Admission_Episodes,APC_Emergency,Outpatient_Total_Appointments,Outpatient_Attended_Appointments,Outpatient_Percent_Attended,Outpatient_DNA_Appointment,Outpatient_Percent_DNA,Outpatient_Follow_Up_Attendance,Outpatient_Attendance_Type_1,Outpatient_Attendance_Type_2
JAN26,1833266,745875,0.41,1130047,703219,490902,0.7,1494030,530379,12549453,9717245,.77,692968,.06,2.060130409,3174783,6540467
DEC25,1831671,1035461,0.57,1159716,671955,619583,0.92,1475255,549131,11938241,9149914,.77,664644,.06,2.06647178,2983266,6164835
NOV25,1823803,1073226,0.59,1127725,696078,644790,0.93,1488797,530863,12168015,9497893,.78,660777,.05,2.028276585,3136093,6360864
OCT25,1971662,1177344,0.6,1202607,769055,714104,0.93,1610631,562862,13274749,10343087,.78,721112,.05,2.024371678,3419666,6922675
SEP25,1905385,1143316,0.6,1164349,741036,688224,0.93,1555336,546825,13013605,10094262,.78,706697,.05,2.008685344,3354847,6738832
AUG25,1804115,1074602,0.6,1123525,680590,632230,0.93,1470751,528242,11315806,8766464,.77,615021,.05,2.011213951,2911106,5854857
JUL25,1968276,1188502,0.6,1200378,767898,717714,0.93,1610100,564739,13384630,10376561,.78,732005,.05,2.020954986,3434648,6941269
JUN25,1881567,1135597,0.6,1153300,728267,680234,0.93,1536539,542494,12619602,9835729,.78,695709,.06,1.99250844,3286632,6548642
MAY25,1894434,1141920,0.6,1170073,724361,677726,0.94,1547333,551720,12135523,9490629,.78,652340,.05,2.026613984,3135532,6354513
APR25,1842070,1107020,0.6,1134453,707617,662089,0.94,1502207,536047,12101094,9428373,.78,639379,.05,2.059961863,3080508,6345729
MAR25,1923041,1124068,0.58,1184656,738385,689223,0.93,1571473,557567,12249463,9523191,.78,644921,.05,2.000192533,3173481,6347573
FEB25,1770736,1066024,0.6,1072558,698178,652787,0.93,1451585,501943,11661621,9070819,.78,615304,.05,2.019461102,3003427,6065304
JAN25,1939432,1162743,0.6,1180969,758463,709438,0.94,1581499,555192,12962398,10054568,.78,718703,.06,2.057013679,3288474,6764436
DEC24,1813531,1051251,0.58,1163485,650046,607445,0.93,1463492,559406,11085473,8493703,.77,636508,.06,2.040189486,2793243,5698745
NOV24,1898365,1142324,0.6,1164028,734337,686679,0.94,1557086,555369,12357059,9634390,.78,684614,.06,2.014224253,3195950,6437360
OCT24,1984081,1201633,0.61,1208682,775399,724738,0.93,1631135,575067,13233112,10273632,.78,734430,.06,2.022547712,3398571,6873772
SEP24,1843742,1117229,0.61,1133666,710076,664393,0.94,1512184,535974,12137576,9383510,.77,692701,.06,2.021473842,3105313,6277309
AUG24,1834443,1117522,0.61,1128523,705920,660971,0.94,1505755,532292,11468775,8851039,.77,656673,.06,2.027249912,2923459,5926582
JUL24,1952969,1187835,0.61,1190240,762729,713939,0.94,1601803,566123,12954972,10008291,.77,733733,.06,2.018474978,3315349,6691949
JUN24,1812300,1090901,0.6,1125998,686302,641679,0.93,1487535,542173,11659218,9014286,.77,660221,.06,2.001600159,3002826,6010457
MAY24,1921530,1155607,0.6,1190237,731293,684221,0.94,1579533,575744,12260709,9564532,.78,691341,.06,2.031153369,3155036,6408362
APR24,1861445,1120946,0.6,1151235,710210,664552,0.94,1525776,558126,12020614,9353192,.78,674962,.06,2.05414575,3062124,6290049
MAR24,1855318,1071637,0.58,1167686,687632,635164,0.92,1529117,573401,11176694,8710477,.78,625936,.06,2.0768174,2833517,5876176
FEB24,1799163,1064516,0.59,1113835,685328,635135,0.93,1478336,537074,11581356,9013568,.78,640324,.06,2.0879787,2924747,6088133
JAN24,1887271,1116786,0.59,1174721,712550,665878,0.93,1539810,568335,12324617,9567299,.78,719351,.06,2.1181338,3075872,6490818
DEC23,1716509,992164,0.58,1122013,594496,556485,0.94,1393491,550294,10011736,7663157,.77,613080,.06,2.0892977,2486952,5175794
NOV23,1877347,1134624,0.6,1157507,719840,674137,0.94,1544416,554701,12217216,9543940,.78,742892,.06,2.0667545,3119509,6423686
OCT23,1837878,1096029,0.6,1154568,683310,640002,0.94,1504232,557192,11905182,9097744,.76,720416,.06,2.0408669,2999414,6097666
SEP23,1748051,1052143,0.6,1098444,649607,608742,0.94,1433134,530458,11207017,8574841,.76,676622,.06,2.0738301,2796301,5777995
AUG23,1770916,1070853,0.6,1108954,661962,621229,0.94,1448161,533014,11216105,8628250,.77,664953,.06,2.1031077,2787442,5840236
JUL23,1763134,1058340,0.6,1117350,645784,606138,0.94,1440931,540482,11105355,8557663,.77,652384,.06,2.0650111,2797350,5759863
JUN23,1800521,1095312,0.61,1118210,682311,640634,0.94,1476656,536730,11677419,9025704,.77,706192,.06,2.0666768,2948595,6076594
MAY23,1791273,1078024,0.6,1127739,663534,622876,0.94,1466682,547184,11263834,8785142,.78,680418,.06,2.1144853,2831722,5952777
APR23,1603494,950951,0.59,1030824,572670,538040,0.94,1305162,500986,9759065,7467032,.76,577704,.06,2.1277852,2393485,5072378
MAR23,1796790,1059615,0.59,1109410,687380,637000,0.93,1477465,535904,11272464,8606564,.76,670457,.06,2.1451282,2735320,5867612
FEB23,1607104,972552,0.61,991248,615856,575705,0.93,1321989,476565,10040122,7802361,.78,599810,.06,2.1238325,2496452,5302046
JAN23,1721761,1032694,0.6,1074996,646765,605350,0.94,1402697,518490,10793830,8384737,.78,688410,.06,2.1605841,2651663,5729141
DEC22,1617749,936621,0.58,1057154,560595,524194,0.94,1308269,513937,9362551,7073189,.76,639435,.07,2.1564184,2239883,4830125
NOV22,1757335,1070336,0.61,1084288,673047,631595,0.94,1447269,519490,11292132,8827240,.78,715444,.06,2.1253172,2823099,5999981
OCT22,1687969,1020323,0.6,1061715,626254,588232,0.94,1385397,505298,10358170,8023248,.77,666510,.06,2.1050552,2582681,5436686
SEP22,1649802,1008170,0.61,1029335,620467,582576,0.94,1358340,488151,10518699,8018502,.76,691184,.07,2.1358059,2556060,5459248
AUG22,1656938,1012816,0.61,1036926,620012,581952,0.94,1356967,489284,10215681,7894194,.77,668391,.07,2.1280271,2522700,5368374
JUL22,1634051,984842,0.6,1039296,594755,557578,0.94,1340215,494530,10010795,7652409,.76,672358,.07,2.1119312,2458127,5191395
JUN22,1628785,978333,0.6,1040393,588392,552582,0.94,1335639,502526,10161122,7831709,.77,673929,.07,2.1219361,2508339,5322535
MAY22,1711918,1031365,0.6,1086088,625830,587559,0.94,1400698,523876,10844914,8451861,.78,702403,.06,2.1102064,2716865,5733146
APR22,1558069,922584,0.59,1011366,546703,512434,0.94,1264651,485949,9591089,7376175,.77,615121,.06,2.1398296,2339926,5007043
MAR22,1714165,1019991,0.6,1086650,627515,587235,0.94,1403590,521570,11206222,8641874,.77,714730,.06,2.1413806,2740503,5868460
FEB22,1527414,915751,0.6,970994,556420,522051,0.94,1248255,468013,9748168,7577241,.78,613623,.06,2.1320215,2409714,5137562
JAN22,1550474,911186,0.59,1013330,537144,505222,0.94,1253544,491883,10101936,7791647,.77,672930,.07,2.2037309,2422347,5338201
