PARTYEAR,Month_Ending,FY_Start_Date,FY_End_Date,TRETSPEF,TRETSPEF_DESCRIPTION,FCE,FCEs_With_Procedure,Ordinary_Admission_Episodes,FCE_DAY_CASES,FCE_DAY_WITH_PROCEDURE,FAE,EMERGENCY,Total_Appointments,Attended_Appointments,DNA_Appointments,First_Attendance,Follow_Up_Attendance,Latest_Month_Flag
202510,31JAN26,01APR25,31MAR26,&,Not Known,16412,3918,13600,2812,1106,12616,5885,151626,93033,21286,26321,66461,1
202510,31JAN26,01APR25,31MAR26,100,General Surgery Service,100523,46675,65026,35497,26104,90293,48166,209573,160611,10607,66500,94068,1
202510,31JAN26,01APR25,31MAR26,101,Urology Service,60374,33298,26535,33839,22153,56486,13693,387706,288610,21351,93662,194939,1
202510,31JAN26,01APR25,31MAR26,102,Transplant Surgery Service,1409,849,1112,297,252,1048,402,13982,11192,675,1130,10062,1
202510,31JAN26,01APR25,31MAR26,103,Breast Surgery Service,7208,4778,1563,5645,3842,7120,80,173721,138824,6290,66383,72441,1
202510,31JAN26,01APR25,31MAR26,104,Colorectal Surgery Service,31887,18158,9897,21990,14840,29352,4326,135797,102770,6837,47851,54916,1
202510,31JAN26,01APR25,31MAR26,105,Hepatobiliary and Pancreatic Surgery Service,3699,1487,3189,510,305,2607,1123,13002,9803,670,3342,6458,1
202510,31JAN26,01APR25,31MAR26,106,Upper Gastrointestinal Surgery Service,10413,5393,4978,5435,3717,8908,2168,27996,20858,1640,10318,10539,1
202510,31JAN26,01APR25,31MAR26,107,Vascular Surgery Service,9079,4522,5483,3596,2104,7890,2435,71604,49737,4542,23949,25787,1
202510,31JAN26,01APR25,31MAR26,108,Spinal Surgery Service,5636,3509,2873,2763,2055,5277,829,46507,34922,2280,13472,21448,1
202510,31JAN26,01APR25,31MAR26,109,Bariatric Surgery Service,379,181,306,73,44,368,6,6709,4432,496,1215,3217,1
202510,31JAN26,01APR25,31MAR26,110,Trauma and Orthopaedic Service,84564,51095,52223,32341,23485,76730,21606,761220,592634,37747,214142,378480,1
202510,31JAN26,01APR25,31MAR26,111,Orthopaedic Service,1598,892,841,757,450,1562,91,18346,12626,970,3766,8860,1
202510,31JAN26,01APR25,31MAR26,113,Endocrine Surgery Service,85,36,77,8,3,84,0,1143,639,61,178,461,1
202510,31JAN26,01APR25,31MAR26,115,Trauma Surgery Service,1005,300,903,102,32,774,533,6176,5158,402,2246,2912,1
202510,31JAN26,01APR25,31MAR26,120,Ear Nose and Throat Service,24749,12008,12035,12714,7563,23833,7503,344501,245529,21542,112531,132992,1
202510,31JAN26,01APR25,31MAR26,130,Ophthalmology Service,73832,59410,2340,71492,58035,73271,1170,1051785,785741,57099,202846,582879,1
202510,31JAN26,01APR25,31MAR26,140,Oral Surgery Service,12041,7779,1513,10528,7158,11801,722,90813,62984,6680,28239,34743,1
202510,31JAN26,01APR25,31MAR26,141,Restorative Dentistry Service,436,206,56,380,200,436,2,44531,32210,2377,4746,27463,1
202510,31JAN26,01APR25,31MAR26,142,Paediatric Dentistry Service,2399,1615,105,2294,1590,2398,2,14721,10090,1264,3407,6683,1
