REPORTING_PERIOD,MEASURE_TYPE,MEASURE,MAINSPEF_CODE,MAINSPEF_DESCRIPTION,MEASURE_VALUE
2425,All Attendances by Age and Gender,0 All Genders,All,All,1245099
2425,All Attendances by Age and Gender,0 Female,All,All,575222
2425,All Attendances by Age and Gender,0 Male,All,All,667420
2425,All Attendances by Age and Gender,10-14 All Genders,All,All,3105108
2425,All Attendances by Age and Gender,10-14 Female,All,All,1468218
2425,All Attendances by Age and Gender,10-14 Male,All,All,1630276
2425,All Attendances by Age and Gender,1-4 All Genders,All,All,2146629
2425,All Attendances by Age and Gender,1-4 Female,All,All,921017
2425,All Attendances by Age and Gender,1-4 Male,All,All,1221690
2425,All Attendances by Age and Gender,15 All Genders,All,All,765376
2425,All Attendances by Age and Gender,15 Female,All,All,396506
2425,All Attendances by Age and Gender,15 Male,All,All,367038
2425,All Attendances by Age and Gender,16 All Genders,All,All,727045
2425,All Attendances by Age and Gender,16 Female,All,All,387162
2425,All Attendances by Age and Gender,16 Male,All,All,337901
2425,All Attendances by Age and Gender,17 All Genders,All,All,693675
2425,All Attendances by Age and Gender,17 Female,All,All,385040
2425,All Attendances by Age and Gender,17 Male,All,All,306264
2425,All Attendances by Age and Gender,18 All Genders,All,All,585880
2425,All Attendances by Age and Gender,18 Female,All,All,339808
2425,All Attendances by Age and Gender,18 Male,All,All,243781
2425,All Attendances by Age and Gender,19 All Genders,All,All,574206
2425,All Attendances by Age and Gender,19 Female,All,All,361572
2425,All Attendances by Age and Gender,19 Male,All,All,209908
2425,All Attendances by Age and Gender,20-24 All Genders,All,All,3501926
2425,All Attendances by Age and Gender,20-24 Female,All,All,2454207
2425,All Attendances by Age and Gender,20-24 Male,All,All,1032647
2425,All Attendances by Age and Gender,25-29 All Genders,All,All,5581675
2425,All Attendances by Age and Gender,25-29 Female,All,All,4309357
2425,All Attendances by Age and Gender,25-29 Male,All,All,1252126
2425,All Attendances by Age and Gender,30-34 All Genders,All,All,7282722
2425,All Attendances by Age and Gender,30-34 Female,All,All,5743105
2425,All Attendances by Age and Gender,30-34 Male,All,All,1516833
2425,All Attendances by Age and Gender,35-39 All Genders,All,All,6668984
2425,All Attendances by Age and Gender,35-39 Female,All,All,4927238
2425,All Attendances by Age and Gender,35-39 Male,All,All,1718801
2425,All Attendances by Age and Gender,40-44 All Genders,All,All,5568519
2425,All Attendances by Age and Gender,40-44 Female,All,All,3648443
2425,All Attendances by Age and Gender,40-44 Male,All,All,1897369
2425,All Attendances by Age and Gender,45-49 All Genders,All,All,5366460
2425,All Attendances by Age and Gender,45-49 Female,All,All,3295945
2425,All Attendances by Age and Gender,45-49 Male,All,All,2048053
2425,All Attendances by Age and Gender,50-54 All Genders,All,All,6803189
2425,All Attendances by Age and Gender,50-54 Female,All,All,4072678
2425,All Attendances by Age and Gender,50-54 Male,All,All,2703869
2425,All Attendances by Age and Gender,55-59 All Genders,All,All,8343203
2425,All Attendances by Age and Gender,55-59 Female,All,All,4709018
2425,All Attendances by Age and Gender,55-59 Male,All,All,3602166
2425,All Attendances by Age and Gender,5-9 All Genders,All,All,2782332
2425,All Attendances by Age and Gender,5-9 Female,All,All,1240525
2425,All Attendances by Age and Gender,5-9 Male,All,All,1536449
2425,All Attendances by Age and Gender,60-64 All Genders,All,All,9282302
2425,All Attendances by Age and Gender,60-64 Female,All,All,4931522
2425,All Attendances by Age and Gender,60-64 Male,All,All,4317240
2425,All Attendances by Age and Gender,65-69 All Genders,All,All,9145254
2425,All Attendances by Age and Gender,65-69 Female,All,All,4640125
2425,All Attendances by Age and Gender,65-69 Male,All,All,4474493
2425,All Attendances by Age and Gender,70-74 All Genders,All,All,9160941
2425,All Attendances by Age and Gender,70-74 Female,All,All,4593650
2425,All Attendances by Age and Gender,70-74 Male,All,All,4541176
2425,All Attendances by Age and Gender,75-79 All Genders,All,All,10095817
2425,All Attendances by Age and Gender,75-79 Female,All,All,5062514
2425,All Attendances by Age and Gender,75-79 Male,All,All,5008339
2425,All Attendances by Age and Gender,80-84 All Genders,All,All,7043418
2425,All Attendances by Age and Gender,80-84 Female,All,All,3628209
2425,All Attendances by Age and Gender,80-84 Male,All,All,3399938
2425,All Attendances by Age and Gender,85-89 All Genders,All,All,4294160
2425,All Attendances by Age and Gender,85-89 Female,All,All,2285293
2425,All Attendances by Age and Gender,85-89 Male,All,All,1999885
2425,All Attendances by Age and Gender,90-120 All Genders,All,All,1966672
2425,All Attendances by Age and Gender,90-120 Female,All,All,1156053
2425,All Attendances by Age and Gender,90-120 Male,All,All,807219
2425,All Attendances by Age and Gender,Age Unknown All Genders,All,All,494561
2425,All Attendances by Age and Gender,Age Unknown Female,All,All,254164
2425,All Attendances by Age and Gender,Age Unknown Male,All,All,208762
2425,First Attendances by Age and Gender,0 All Genders,All,All,639256
2425,First Attendances by Age and Gender,0 Female,All,All,290041
2425,First Attendances by Age and Gender,0 Male,All,All,348338
2425,First Attendances by Age and Gender,10-14 All Genders,All,All,1019800
2425,First Attendances by Age and Gender,10-14 Female,All,All,473804
2425,First Attendances by Age and Gender,10-14 Male,All,All,544123
2425,First Attendances by Age and Gender,1-4 All Genders,All,All,826790
2425,First Attendances by Age and Gender,1-4 Female,All,All,351742
2425,First Attendances by Age and Gender,1-4 Male,All,All,473661
2425,First Attendances by Age and Gender,15 All Genders,All,All,227006
2425,First Attendances by Age and Gender,15 Female,All,All,112255
